Id,Probability
100004,0
100015,1
100026,0
100030,1
100047,0
100052,1
100056,0
100061,0
100067,0
100068,1
100082,1
100084,1
100097,0
100098,1
100100,0
100122,1
100128,0
100134,0
100138,0
100146,0
100161,1
100167,0
100184,0
100187,1
100189,1
100202,0
100206,1
100212,1
100218,0
100219,0
100226,1
100227,1
100229,1
100243,0
100257,0
100258,0
100265,0
100274,0
100276,0
100287,0
100289,1
100294,1
100307,0
100313,0
100322,0
100326,1
100332,0
100334,1
100339,1
100344,0
100351,0
100359,0
100375,1
100392,0
100401,1
100403,1
100419,0
100426,0
100432,1
100433,1
100444,0
100448,0
100452,0
100456,1
100465,1
100475,1
100479,0
100483,1
100490,0
100492,0
100499,0
100505,0
100509,0
100513,0
100514,0
100519,1
100528,0
100530,0
100536,0
100541,1
100543,0
100544,1
100554,1
100562,1
100563,1
100569,0
100572,1
100574,0
100578,0
100594,0
100595,0
100598,1
100603,1
100604,0
100606,0
100617,1
100634,0
100638,0
100641,0
100649,0
100653,0
100654,1
100655,1
100676,0
100678,1
100692,0
100698,1
100703,0
100708,1
100712,0
100713,0
100716,0
100722,0
100729,0
100733,0
100739,1
100747,0
100751,1
100759,1
100765,1
100767,0
100772,0
100780,1
100783,0
100787,0
100815,1
100817,0
100818,0
100830,0
100840,0
100843,0
100857,0
100859,0
100865,0
100873,1
100886,0
100893,0
100896,0
100913,1
100918,0
100921,1
100928,1
100945,0
100947,0
100952,0
100955,0
100959,0
100960,1
100962,1
100972,1
100980,0
100999,0
101000,0
101002,0
101003,1
101010,0
101012,0
101023,0
101031,0
101039,1
101040,0
101050,0
101054,0
101056,1
101060,0
101068,0
101082,0
101083,0
101093,0
101099,0
101107,0
101111,1
101113,1
101115,0
101119,0
101123,0
101125,0
101129,0
101130,0
101132,0
101135,1
101140,1
101145,1
101153,0
101156,0
101159,1
101162,1
101171,1
101181,1
101197,0
101228,0
101235,0
101238,1
101243,1
101256,0
101263,1
101264,1
101267,0
101298,0
101299,0
101304,1
101310,1
101314,1
101319,1
101320,1
101326,1
101336,0
101338,1
101342,0
101343,1
101348,0
101354,0
101361,0
101368,0
101375,0
101392,0
101394,1
101407,1
101415,1
101423,0
101434,0
101435,0
101436,0
101438,1
101440,0
101467,0
101474,0
101475,0
101479,0
101480,1
101486,1
101502,0
101511,0
101515,1
101527,1
101532,0
101540,1
101552,0
101557,0
101560,0
101562,0
101572,0
101573,1
101589,0
101594,1
101619,0
101630,0
101639,0
101641,0
101642,1
101643,1
101644,1
101645,0
101648,0
101652,1
101656,0
101660,0
101665,0
101668,1
101670,1
101673,1
101678,0
101679,1
101681,0
101683,0
101689,0
101692,1
101701,0
101706,1
101712,0
101719,1
101738,0
101741,0
101742,0
101759,1
101769,1
101770,1
101781,1
101795,0
101802,0
101809,0
101814,1
101820,0
101823,0
101840,1
101841,0
101842,0
101852,1
101859,1
101861,1
101876,1
101878,0
101883,0
101886,0
101893,0
101896,0
101898,0
101918,1
101924,0
101930,1
101937,0
101946,1
101948,0
101967,1
101968,0
101971,0
101972,1
101990,0
102021,1
102023,0
102033,0
102039,0
102046,0
102057,1
102059,1
102084,0
102087,0
102100,1
102113,1
102115,0
102116,1
102130,1
102140,0
102154,1
102155,1
102168,0
102193,0
102194,1
102199,1
102203,0
102210,0
102240,1
102254,1
102261,0
102272,1
102273,0
102274,1
102284,0
102291,0
102298,1
102299,0
102303,1
102308,0
102313,1
102314,1
102319,0
102333,0
102336,0
102343,0
102348,0
102349,0
102350,1
102354,1
102363,0
102367,1
102371,1
102373,1
102377,0
102389,1
102400,1
102406,0
102422,1
102433,0
102444,0
102445,1
102446,1
102457,0
102462,1
102466,1
102480,1
102484,0
102487,1
102494,0
102504,1
102505,1
102513,0
102517,0
102524,1
102525,0
102529,0
102534,0
102535,1
102548,1
102555,0
102559,1
102562,1
102574,0
102586,0
102592,0
102597,1
102609,0
102613,0
102617,1
102626,1
102629,0
102630,0
102635,0
102638,0
102641,1
102646,0
102657,0
102659,0
102674,0
102716,0
102720,0
102737,1
102748,1
102749,1
102758,0
102761,0
102778,0
102788,0
102795,0
102812,0
102820,0
102821,1
102827,0
102829,1
102835,1
102838,0
102841,0
102843,0
102848,1
102850,1
102855,0
102861,1
102891,1
102892,0
102910,1
102923,0
102942,0
102947,0
102953,0
102955,1
102958,0
102959,1
102971,1
102973,0
102974,0
102977,0
102988,1
103001,1
103006,0
103037,1
103038,0
103040,0
103049,1
103053,0
103061,1
103062,0
103076,0
103097,1
103102,0
103108,1
103117,0
103120,0
103121,0
103123,0
103124,0
103131,0
103135,0
103140,0
103145,0
103146,1
103147,0
103150,0
103154,0
103157,0
103164,0
103165,0
103173,0
103189,0
103206,0
103218,0
103223,1
103228,1
103232,0
103245,1
103247,0
103253,1
103270,0
103277,0
103279,0
103280,0
103287,1
103294,1
103299,0
103312,0
103313,0
103318,1
103332,0
103341,0
103344,0
103353,0
103359,1
103364,0
103373,0
103378,1
103403,1
103405,1
103407,1
103408,1
103410,0
103413,1
103429,1
103433,1
103438,1
103451,0
103461,0
103463,1
103467,0
103471,1
103472,0
103476,1
103477,0
103482,0
103485,1
103489,0
103493,0
103504,0
103505,0
103508,0
103510,0
103519,1
103526,0
103528,0
103533,0
103540,0
103549,0
103550,0
103560,1
103565,1
103581,1
103582,0
103588,0
103590,0
103594,0
103597,0
103599,0
103609,0
103621,1
103628,0
103631,1
103634,0
103652,1
103654,0
103672,0
103675,1
103679,1
103686,0
103694,0
103703,0
103731,1
103740,1
103753,1
103757,1
103758,0
103776,1
103779,0
103782,1
103786,1
103789,1
103802,1
103813,0
103817,0
103819,0
103821,0
103847,0
103861,0
103869,0
103873,0
103878,0
103894,1
103901,0
103910,1
103916,0
103919,0
103926,0
103930,0
103932,0
103943,1
103944,1
103947,1
103949,0
103952,0
103953,0
103955,1
103959,0
104001,1
104003,0
104009,1
104014,0
104015,1
104051,0
104054,0
104055,1
104062,0
104100,0
104119,0
104125,0
104134,0
104155,0
104156,1
104168,0
104187,0
104190,0
104193,1
104197,1
104204,0
104215,1
104225,0
104226,0
104229,0
104234,1
104238,1
104241,0
104247,0
104251,0
104254,0
104265,0
104278,0
104281,0
104282,1
104286,0
104300,0
104301,0
104308,0
104309,0
104314,0
104315,0
104316,0
104317,0
104321,0
104327,0
104330,1
104337,0
104353,0
104363,1
104367,1
104371,1
104377,1
104380,0
104398,1
104402,0
104404,1
104415,1
104421,0
104422,1
104431,1
104445,0
104446,1
104449,1
104468,0
104473,0
104480,0
104491,0
104502,0
104503,0
104506,0
104514,0
104526,1
104532,1
104544,1
104546,1
104550,0
104557,0
104566,1
104573,0
104575,1
104578,1
104584,1
104586,0
104591,1
104592,1
104597,0
104605,0
104610,0
104616,1
104620,0
104624,0
104630,0
104631,0
104648,1
104650,0
104670,0
104673,0
104676,1
104679,0
104681,1
104701,1
104717,0
104727,0
104728,1
104730,1
104731,0
104734,1
104735,1
104748,1
104755,1
104756,1
104765,1
104767,1
104770,0
104773,0
104775,0
104786,0
104791,0
104793,0
104814,0
104824,0
104836,0
104848,0
104861,1
104882,0
104886,1
104888,1
104892,0
104898,0
104901,0
104902,1
104910,0
104921,0
104924,1
104927,0
104929,1
104935,0
104942,0
104957,0
104961,0
104965,1
104975,0
104991,0
104995,0
105000,0
105010,1
105014,0
105023,0
105027,1
105031,0
105045,0
105049,1
105058,1
105105,1
105111,0
105116,0
105126,1
105144,0
105166,0
105167,0
105175,0
105177,1
105179,0
105192,0
105193,0
105197,0
105204,0
105212,1
105219,1
105220,0
105226,0
105230,0
105241,0
105270,0
105277,1
105300,1
105309,1
105312,0
105321,0
105331,1
105332,1
105340,1
105341,0
105349,0
105366,0
105399,1
105400,0
105401,0
105402,0
105404,0
105428,0
105434,1
105442,1
105452,0
105456,1
105471,1
105477,0
105483,0
105485,0
105494,0
105505,1
105519,0
105534,1
105538,0
105543,1
105547,1
105550,0
105556,0
105562,1
105568,0
105569,1
105570,0
105585,0
105587,0
105593,1
105609,1
105612,1
105613,0
105617,0
105619,0
105629,0
105630,1
105632,1
105637,1
105642,0
105648,1
105649,1
105656,1
105657,0
105671,1
105690,1
105704,0
105705,0
105706,0
105709,1
105717,1
105729,0
105733,1
105755,0
105763,0
105771,0
105774,0
105775,0
105776,0
105785,0
105796,0
105802,0
105812,0
105816,0
105819,0
105821,1
105826,0
105845,0
105852,0
105858,0
105870,0
105871,0
105884,0
105886,1
105887,0
105901,1
105904,0
105907,1
105910,0
105914,0
105934,0
105940,1
105950,0
105952,1
105955,1
105962,0
105963,0
105981,0
105989,1
105996,0
105998,1
106003,1
106008,0
106018,0
106020,0
106034,0
106037,0
106046,1
106051,1
106058,1
106060,1
106070,0
106089,1
106093,0
106100,1
106102,0
106111,1
106113,0
106118,0
106123,1
106147,0
106148,0
106153,1
106166,1
106175,1
106182,0
106186,1
106188,0
106189,1
106192,1
106214,0
106217,1
106220,0
106222,0
106224,1
106234,0
106237,0
106238,0
106240,0
106247,0
106261,0
106262,0
106266,0
106269,0
106270,0
106284,1
106302,1
106305,0
106307,1
106312,0
106314,0
106318,1
106352,0
106364,1
106390,1
106400,0
106410,0
106421,0
106433,0
106434,0
106439,1
106445,0
106446,1
106457,1
106463,0
106475,1
106476,0
106483,1
106491,1
106494,0
106497,1
106501,0
106503,0
106509,0
106518,1
106523,1
106529,0
106534,0
106548,1
106554,0
106560,1
106564,0
106569,0
106575,0
106578,0
106582,0
106587,0
106591,0
106593,0
106606,1
106607,1
106614,0
106617,0
106619,0
106625,0
106630,0
106639,1
106649,0
106655,1
106659,0
106662,1
106664,0
106668,1
106671,1
106673,1
106675,1
106678,0
106686,1
106696,0
106699,1
106710,0
106744,0
106746,0
106756,1
106763,0
106764,1
106776,0
106779,1
106791,0
106802,1
106815,1
106850,1
106862,0
106865,0
106871,1
106877,1
106878,1
106881,0
106888,0
106901,0
106907,0
106913,1
106922,0
106929,0
106951,0
106958,0
106964,0
106977,0
106981,1
106990,0
106994,0
106999,1
107003,0
107004,0
107006,0
107009,1
107023,0
107026,1
107039,1
107042,0
107056,0
107060,0
107067,1
107123,0
107128,0
107132,1
107137,1
107139,0
107158,1
107165,0
107174,0
107177,0
107182,0
107183,0
107195,0
107198,0
107199,1
107235,0
107237,1
107241,0
107245,0
107251,0
107252,0
107253,0
107254,0
107271,0
107272,0
107277,0
107287,0
107290,1
107294,0
107305,0
107361,0
107389,1
107400,0
107408,0
107415,0
107422,1
107432,0
107443,0
107455,0
107480,0
107490,1
107491,1
107495,0
107496,1
107514,1
107521,0
107527,0
107538,0
107545,0
107551,0
107561,0
107569,1
107573,0
107580,0
107587,0
107593,1
107600,1
107603,1
107605,1
107615,0
107629,1
107634,0
107641,0
107644,0
107657,0
107664,0
107673,1
107677,0
107692,1
107701,1
107702,0
107705,1
107719,0
107720,1
107726,1
107737,0
107738,0
107757,0
107758,1
107760,1
107763,0
107774,1
107793,0
107801,0
107807,1
107812,1
107821,0
107829,1
107844,0
107847,0
107848,0
107850,0
107852,0
107854,0
107857,1
107868,1
107879,0
107881,0
107888,0
107895,0
107909,0
107910,0
107913,0
107936,1
107937,0
107946,1
107949,0
107955,1
107961,1
107962,0
107968,0
107983,1
107984,0
107992,1
108000,0
108007,1
108020,0
108022,0
108028,0
108033,0
108034,0
108042,1
108054,0
108073,0
108077,0
108088,0
108091,1
108093,0
108098,0
108101,1
108112,1
108114,1
108125,1
108127,0
108144,0
108146,1
108150,1
108163,0
108170,1
108179,0
108204,1
108220,0
108226,0
108232,0
108240,0
108245,0
108255,1
108287,0
108290,1
108292,0
108296,0
108299,0
108300,0
108313,0
108319,0
108321,0
108358,0
108360,1
108362,0
108366,1
108376,1
108381,0
108397,1
108398,1
108401,1
108421,1
108423,1
108429,0
108442,1
108445,1
108447,1
108461,1
108489,1
108492,0
108505,0
108506,0
108517,0
108521,0
108526,0
108535,0
108549,1
108551,0
108563,1
108574,1
108576,0
108580,0
108586,1
108593,0
108596,0
108597,1
108622,1
108634,0
108636,1
108642,0
108662,0
108682,1
108684,0
108687,0
108706,0
108727,1
108740,0
108749,0
108765,1
108767,1
108783,0
108806,0
108827,1
108835,0
108838,0
108845,1
108852,0
108855,0
108856,1
108870,0
108873,1
108876,0
108887,0
108890,0
108893,1
108907,1
108911,0
108912,0
108927,0
108930,0
108932,0
108936,0
108938,1
108945,0
108953,0
108954,0
108979,0
108983,0
108987,0
108989,0
108990,0
108995,0
109003,1
109004,0
109035,1
109039,1
109063,1
109071,0
109073,1
109080,0
109085,0
109087,1
109099,0
109100,1
109108,0
109117,1
109118,0
109126,0
109130,1
109156,0
109167,0
109175,1
109177,1
109184,0
109186,1
109187,0
109202,0
109210,1
109215,1
109224,0
109229,1
109233,1
109235,1
109245,0
109249,1
109252,1
109255,0
109269,1
109276,0
109277,1
109293,1
109305,0
109311,1
109314,0
109323,1
109327,0
109343,0
109348,0
109356,1
109360,1
109362,1
109368,0
109369,0
109388,0
